DATE_TIME,ICAO,TEMP,WIND_SPEED,PRECIP,CONDITION
2016-01-16 17:28:00,DTTA,46,20,0.0,Mostly Cloudy
2016-01-16 17:30:00,DTTA,48,18,0.0,Mostly Cloudy
2016-01-16 18:00:00,DTTA,48,18,0.0,Mostly Cloudy
2016-01-16 18:30:00,DTTA,48,16,0.0,Mostly Cloudy
2016-01-16 19:00:00,DTTA,48,17,0.0,Mostly Cloudy
2016-01-16 19:30:00,DTTA,48,16,0.0,Mostly Cloudy
2016-01-16 20:00:00,DTTA,48,18,0.0,Mostly Cloudy
2016-01-16 20:30:00,DTTA,48,16,0.0,Mostly Cloudy
2016-01-16 21:00:00,DTTA,48,17,0.0,Mostly Cloudy
2016-01-16 21:30:00,DTTA,48,17,0.0,Mostly Cloudy
2016-01-16 22:00:00,DTTA,48,18,0.0,Mostly Cloudy
2016-01-16 22:30:00,DTTA,48,17,0.0,Mostly Cloudy
2016-01-16 23:00:00,DTTA,48,15,0.0,Mostly Cloudy
2016-01-16 23:30:00,DTTA,48,15,0.0,Mostly Cloudy
2016-01-17 00:00:00,DTTJ,50,26,0.0,Fair / Windy
2016-01-17 00:30:00,DTTJ,52,30,0.0,Fair / Windy
2016-01-17 01:00:00,DTTJ,50,28,0.0,Fair / Windy
2016-01-17 01:30:00,DTTJ,50,28,0.0,Fair / Windy
2016-01-17 02:00:00,DTTJ,50,30,0.0,Fair / Windy
2016-01-17 02:30:00,DTTJ,50,30,0.0,Fair / Windy
2016-01-17 03:00:00,DTTJ,50,28,0.0,Fair / Windy
2016-01-17 03:30:00,DTTJ,50,29,0.0,Fair / Windy
2016-01-17 04:00:00,DTTJ,50,31,0.0,Fair / Windy
2016-01-17 04:30:00,DTTJ,50,31,0.0,Fair / Windy
2016-01-17 05:00:00,DTTJ,50,26,0.0,Fair / Windy
2016-01-17 05:30:00,DTTJ,50,29,0.0,Fair / Windy
2016-01-17 06:00:00,DTTJ,50,26,0.0,Fair / Windy
2016-01-17 06:30:00,DTTJ,50,29,0.0,Fair / Windy
2016-01-17 07:00:00,DTTJ,50,28,0.0,Fair / Windy
2016-01-17 07:30:00,DTTJ,50,24,0.0,Fair / Windy
2016-01-17 08:00:00,DTTJ,50,25,0.0,Fair / Windy
2016-01-17 08:30:00,DTTJ,52,25,0.0,Fair / Windy
2016-01-17 09:00:00,DTTJ,52,22,0.0,Fair / Windy
2016-01-17 09:30:00,DTTJ,52,26,0.0,Fair / Windy
2016-01-17 10:00:00,DTTJ,52,23,0.0,Fair / Windy
2016-01-17 10:30:00,DTTJ,54,25,0.0,Partly Cloudy / Windy
2016-01-17 11:00:00,DTTJ,52,23,0.0,Partly Cloudy / Windy
2016-01-17 11:30:00,DTTJ,54,26,0.0,Partly Cloudy / Windy
2016-01-17 12:00:00,DTTJ,55,25,0.0,Partly Cloudy / Windy
2016-01-17 12:30:00,DTTJ,55,26,0.0,Partly Cloudy / Windy
2016-01-17 13:00:00,DTTJ,55,24,0.0,Partly Cloudy / Windy
2016-01-17 13:30:00,DTTJ,57,24,0.0,Partly Cloudy / Windy
2016-01-17 14:30:00,DTTJ,57,25,0.0,Partly Cloudy / Windy
2016-01-17 15:00:00,DTTJ,57,26,0.0,Partly Cloudy / Windy
2016-01-17 15:30:00,DTTJ,57,23,0.0,Partly Cloudy / Windy
2016-01-17 16:00:00,DTTJ,57,26,0.0,Partly Cloudy / Windy
2016-01-17 16:30:00,DTTJ,57,30,0.0,Partly Cloudy / Windy
2016-01-17 17:00:00,DTTJ,57,26,0.0,Partly Cloudy / Windy
2016-01-17 17:30:00,DTTJ,55,26,0.0,Partly Cloudy / Windy
2016-01-17 18:00:00,DTTJ,55,24,0.0,Partly Cloudy / Windy
2016-01-17 18:30:00,DTTJ,55,24,0.0,Partly Cloudy / Windy
2016-01-17 19:00:00,DTTJ,54,26,0.0,Partly Cloudy / Windy
2016-01-17 19:30:00,DTTJ,54,25,0.0,Partly Cloudy / Windy
2016-01-17 20:00:00,DTTJ,54,29,0.0,Partly Cloudy / Windy
2016-01-17 20:30:00,DTTJ,54,23,0.0,Partly Cloudy / Windy
2016-01-17 21:00:00,DTTJ,54,21,0.0,Partly Cloudy / Windy
2016-01-17 22:00:00,DTTJ,54,23,0.0,Partly Cloudy / Windy
2016-01-17 22:30:00,DTTJ,54,21,0.0,Partly Cloudy / Windy
2016-01-17 23:00:00,DTTJ,54,22,0.0,Partly Cloudy / Windy
2016-01-17 23:30:00,DTTJ,54,20,0.0,Fair
2016-01-17 01:00:00,LFBO,37,9,0.0,Mostly Cloudy
2016-01-17 01:30:00,LFBO,37,8,0.0,Mostly Cloudy
2016-01-17 02:00:00,LFBO,37,9,0.0,Partly Cloudy
2016-01-17 02:30:00,LFBO,37,10,0.0,Fair
2016-01-17 03:00:00,LFBO,36,9,0.0,Fair
2016-01-17 03:30:00,LFBO,36,12,0.0,Fair
2016-01-17 04:00:00,LFBO,36,12,0.0,Fair
2016-01-17 04:30:00,LFBO,36,9,0.0,Fair
2016-01-17 05:00:00,LFBO,36,8,0.0,Fair
2016-01-17 05:30:00,LFBO,34,3,0.0,Partly Cloudy
2016-01-17 06:00:00,LFBO,32,5,0.0,Mostly Cloudy
2016-01-17 06:30:00,LFBO,32,3,0.0,Mostly Cloudy
2016-01-17 07:00:00,LFBO,32,5,0.0,Mostly Cloudy
2016-01-17 07:30:00,LFBO,30,3,0.0,Mostly Cloudy
2016-01-17 08:00:00,LFBO,30,2,0.0,Fair
2016-01-17 08:30:00,LFBO,30,2,0.0,Partly Cloudy
2016-01-17 09:00:00,LFBO,30,2,0.0,Mostly Cloudy
2016-01-17 09:30:00,LFBO,30,3,0.0,Mostly Cloudy
2016-01-17 10:00:00,LFBO,30,3,0.0,Fair
2016-01-17 10:30:00,LFBO,32,3,0.0,Fair
2016-01-17 11:00:00,LFBO,34,3,0.0,Fair
2016-01-17 11:30:00,LFBO,37,3,0.0,Fair
2016-01-17 12:00:00,LFBO,39,3,0.0,Fair
2016-01-17 12:30:00,LFBO,43,3,0.0,Fair
2016-01-17 13:00:00,LFBO,45,2,0.0,Fair
2016-01-17 13:30:00,LFBO,45,3,0.0,Fair
2016-01-17 14:00:00,LFBO,46,2,0.0,Fair
2016-01-17 14:30:00,LFBO,46,2,0.0,Fair
